V01000 V04001 V04002 V04202 C56001 C56002 C56003 C56004 C56005_400 V56006 V56007 V56008 V56019 V56020 V56021 V56208_400_010 V56208_400_020 V56208_400_050 V56208_400_070 V56208_400_100
56586 1993 6 3 夏玉米 拔节 06月10日 普遍期 提前13天 53 2 -9999 1421 430 0 83 88 99 -9999 -9999 
56586 1993 6 3 一季稻 分蘖 06月30日 普遍期 提前13天 46 3 282 1441 113 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 7 1 夏玉米 抽雄 07月09日 普遍期 提前7天 165 2 -9999 1603 413 0 99 99 99 -9999 -9999 
56586 1993 7 1 一季稻 分蘖 07月04日 末期 99 -9999 -9999 -9999 1623 99 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 7 2 夏玉米 抽雄 07月12日 末期 99 211 2 -9999 1815 423 0 89 82 97 -9999 -9999 
56586 1993 7 2 一季稻 分蘖 07月04日 末期 99 -9999 -9999 -9999 1835 98 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 7 3 夏玉米 抽雄 07月12日 末期 99 211 2 -9999 2025 423 0 95 99 99 -9999 -9999 
56586 1993 7 3 一季稻 孕穗 07月30日 开始期 -9999 -9999 -9999 -9999 2045 88 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 8 1 夏玉米 抽雄 07月12日 末期 99 211 2 -9999 2225 41 0 89 99 99 -9999 -9999 
56586 1993 8 1 一季稻 孕穗 08月03日 普遍期 提前5天 44 3 333 2245 97 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 8 2 夏玉米 乳熟 08月20日 普遍期 推迟4天 -9999 -9999 304 2407 451 0 79 92 99 -9999 -9999 
56586 1993 8 2 一季稻 抽穗 08月18日 普遍期 推迟3天 85 3 -9999 2427 86 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 8 3 夏玉米 抽雄 07月12日 末期 99 211 2 -9999 2590 429 0 93 99 96 -9999 -9999 
56586 1993 8 3 一季稻 抽穗 08月23日 末期 -9999 -9999 -9999 -9999 2610 56 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 9 1 夏玉米 抽雄 07月12日 末期 99 211 2 -9999 2751 416 0 91 99 99 -9999 -9999 
56586 1993 9 1 一季稻 抽穗 08月23日 末期 -9999 -9999 -9999 -9999 2771 38 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 9 3 一季稻 抽穗 08月23日 末期 -9999 -9999 -9999 -9999 3080 34 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 10 1 一季稻 抽穗 08月23日 末期 -9999 -9999 -9999 -9999 3215 24 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1993 10 2 一季稻 成熟 10月12日 末期 推迟13天 -9999 -9999 -9999 3249 31 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1994 4 1 夏玉米 播种 04月04日 普遍期 提前27天 -9999 -9999 -9999 105 105 0 80 89 99 -9999 -9999 
56586 1994 4 1 一季稻 播种 04月06日 普遍期 提前2天 -9999 -9999 -9999 73 49 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1994 4 2 夏玉米 三叶 04月20日 普遍期 提前27天 -9999 -9999 -9999 230 230 0 70 83 99 -9999 -9999 
56586 1994 4 2 一季稻 出苗 04月11日 普遍期 提前4天 -9999 -9999 -9999 198 39 -9999 -9999 -9999 -9999 -9999 -9999 
56586 1994 4 3 夏玉米 三叶 04月21日 末期 99 -9999 -9999 -9999 381 353 0 60 83 99 -9999 -9999 
56586 1994 4 3 一季稻 出苗 04月11日 普遍期 提前4天 -9999 -9999 -9999 349 40 -9999 -9999 -9999 -9999 -9999 -9999 
